Years,CO2 emissions from transport,GDP per capita,GDP per capita growth rate ^2,Population Growth,FDI net inflows,Fuel imports,Inflation - consumer prices,Trade openness - Trade,Change in Length of Roads,Motor vehicles,Energy intensity,Urbanisation rate,Population density
1990,24.62473195,1.416426113,2.006262933,3.297471166,0.612997662,20.78579014,9.052131553,35.0345759,1.38,5.12,21.35828682,28.3,1.282916948
1991,25.01312795,2.092402463,4.378148068,3.230643374,0.566385003,17.83350885,11.79127034,35.4196551,1.41,5.07,17.03444989,28.9,3.333333333
1992,25.27851875,4.744065969,22.50616192,2.625886811,0.688314541,16.28773959,9.509041462,37.69453972,1.5,4.95,-3.242961978,29.5,2.580645161
1993,26.17287461,-1.002064287,1.004132834,2.55855603,0.672760661,17.00819879,9.97366476,38.49931688,1.6,4.83,-2.538935943,30.1,2.51572327
1994,26.6831208,0.913847234,0.835116767,2.903377953,0.805119155,16.00819879,12.36819439,35.05772371,1.65,4.84,-10.76467366,30.7,3.067484663
1995,25.53648069,2.067480993,4.274477658,2.952111316,1.191752908,16.14645168,12.34357852,36.13275367,1.65,4.83,-1.935175276,31.2,2.976190476
1996,28.69659145,1.905379184,3.630469834,3.046138376,1.456055582,20.05437049,10.37380859,38.33012683,1.71,4.71,-2.360179608,31.8,2.89017341
1997,28.22255501,-1.843705322,3.399249314,2.940607026,1.147229318,19.0992256,11.37549289,36.8522661,1.8,4.69,-2.145452526,32.4,2.808988764
1998,29.70061238,-0.328922269,0.108189859,2.891238262,0.813610046,15.90285656,6.228004154,34.01172518,1.83,4.76,17.3696422,33,3.278688525
1999,28.5610691,0.83249951,0.693055434,2.858444356,0.844795025,20.65520209,4.142637181,32.31996281,1.87,4.72,-8.082415908,33.5,2.645502646
2000,28.3347228,1.53612336,2.359674978,3.075552912,0.375528498,32.50705926,4.366664513,25.36342969,1.91,4.6,-9.953764745,34,3.092783505
2001,27.86597938,0.975939704,0.952458307,3.092079184,0.475564993,28.60807753,3.148261446,27.63004524,1.94,4.56,-5.096330818,34.6,3.5
2002,27.4172452,0.060411007,0.00364949,2.50885976,1.033727741,27.06128738,3.290344726,27.63380672,1.98,4.51,-5.029021502,35.2,2.415458937
2003,28.11186076,3.328596582,11.07955521,2.189388121,0.581949477,23.55055886,2.914134701,29.79639645,2.02,4.47,-8.986656426,35.8,1.886792453
2004,27.10296684,5.095222794,25.96129532,2.235149207,1.037493764,21.34492055,7.444624693,27.54962543,2.05,4.35,-17.07949869,36.4,2.314814815
2005,24.83083512,4.100530677,16.81435183,2.158492155,1.833321933,21.15961995,9.06332737,32.15442914,2.09,4.3,-14.08091235,37,2.262443439
2006,23.26814979,3.498108506,12.23676312,2.098513142,3.112977982,25.75695629,7.921084401,35.68172966,2.12,4.26,-16.03601187,37.6,2.212389381
2007,25.13058619,2.467958138,6.09081737,2.141523972,3.668322816,25.6231338,7.598684411,32.99042857,2.16,4.21,-26.21675243,38.2,2.164502165
2008,25.54899288,-0.574300931,0.329821559,2.178889217,3.197360002,33.22580874,20.28612109,35.59420149,2.19,4.16,-4.52344959,38.8,2.118644068
2009,25.3489918,0.560537621,0.314202425,2.229162535,1.390402267,27.98226689,13.64776506,32.07184826,2.21,4.11,4.136292795,39.4,2.489626556
2010,26.74330085,-0.601301452,0.361563436,2.252579345,1.141304858,30.38560535,12.93887056,32.86892658,2.24,4.06,-2.610479953,40,2.024291498
2011,27.53732469,0.554047984,0.306969169,2.110834578,0.6208231,34.12870513,11.91609271,32.93990515,2.26,4.01,-15.38080588,40.6,2.380952381
2012,27.78812486,1.329475813,1.767505937,1.79797543,0.382826517,36.39660483,9.682351861,32.80550221,2.27,3.9,-6.591418474,41.3,1.550387597
2013,28.26698239,2.223673383,4.944723313,1.536897649,0.576510795,34.8300587,7.692156119,33.33359868,2.29,3.91,-2.206906944,41.9,1.526717557
2014,28.93109219,2.50719159,6.28600967,1.409182973,0.772218504,31.25920368,7.189384028,30.90124462,2.3,3.85,-7.760156097,42.5,1.503759398
2015,29.1456789,2.566467104,6.586753394,1.296551724,0.618355973,22.90267474,2.529328173,27.65467252,2.31,3.8,2.208549315,43.2,1.481481481
2016,30.25679,3.347911652,11.20851243,1.204055673,0.821350368,20.35988053,3.765119164,24.70157951,2.31,3.71,0.070795873,43.9,1.094890511
2017,31.9690876,2.28533926,5.222775532,1.328135434,0.735836874,23.96826887,4.08537368,25.47203641,2.32,3.66,-5.254193492,44.6,1.444043321
2018,30.43765643,3.989898721,15.91929181,1.537172403,0.487745671,28.65417591,5.078057259,27.62605637,2.32,3.57,-1.62198415,45.3,1.423487544
2019,28.65678904,0.444975728,0.198003399,1.607981347,0.696146445,28.81432492,10.5783618,28.9055758,2.32,3.53,16.91009044,46,1.754385965
